"service_date","day_type","bus","rail_boardings","total_rides"
"01/01/2001","U","297,192","126,455","423,647"
"01/02/2001","W","780,827","501,952","1,282,779"
"01/03/2001","W","824,923","536,432","1,361,355"
"01/04/2001","W","870,021","550,011","1,420,032"
"01/05/2001","W","890,426","557,917","1,448,343"
"01/06/2001","A","577,401","255,356","832,757"
"01/07/2001","U","375,831","169,825","545,656"
"01/08/2001","W","985,221","590,706","1,575,927"
"01/09/2001","W","978,377","599,905","1,578,282"
"01/10/2001","W","984,884","602,052","1,586,936"
"01/11/2001","W","995,561","607,503","1,603,064"
"01/12/2001","W","1,018,985","605,252","1,624,237"
"01/13/2001","A","591,791","270,056","861,847"
"01/14/2001","U","373,091","174,842","547,933"
"01/15/2001","W","675,845","412,149","1,087,994"
"01/16/2001","W","1,024,367","622,163","1,646,530"
"01/17/2001","W","1,018,690","620,343","1,639,033"
"01/18/2001","W","1,006,996","618,832","1,625,828"
"01/19/2001","W","909,964","583,851","1,493,815"
"01/20/2001","A","582,348","263,815","846,163"
"01/21/2001","U","378,381","172,107","550,488"
"01/22/2001","W","1,005,936","598,777","1,604,713"
"01/23/2001","W","1,019,983","610,352","1,630,335"
"01/24/2001","W","991,661","606,835","1,598,496"
"01/25/2001","W","1,004,257","609,877","1,614,134"
"01/26/2001","W","965,324","597,039","1,562,363"
"01/27/2001","A","590,836","268,078","858,914"
"01/28/2001","U","368,819","174,434","543,253"
"01/29/2001","W","953,532","587,052","1,540,584"
"01/30/2001","W","982,046","607,858","1,589,904"
"01/31/2001","W","999,392","610,508","1,609,900"
"02/01/2001","W","1,054,608","615,268","1,669,876"
"02/02/2001","W","966,701","577,767","1,544,468"
"02/03/2001","A","611,703","263,612","875,315"
"02/04/2001","U","404,212","178,398","582,610"
"02/05/2001","W","1,045,944","600,588","1,646,532"
"02/06/2001","W","1,039,393","612,435","1,651,828"
"02/07/2001","W","1,015,059","609,022","1,624,081"
"02/08/2001","W","1,007,760","610,237","1,617,997"
"02/09/2001","W","970,826","593,354","1,564,180"
"02/10/2001","A","605,404","271,313","876,717"
"02/11/2001","U","405,433","178,810","584,243"
"02/12/2001","W","872,330","539,393","1,411,723"
